Last Name,First Name,Position,Dev Trait,Overall Rating,Speed,Acceleration,Strength,Agility,Awareness,Catching,Carrying,Throw Power,Throw Accuracy,Kick Power,Kick Accuracy,Run Block,Pass Block,Tackle,Jumping,Kick Return,Injury,Stamina,Toughness,Trucking,Elusiveness,Ball Carrier Vision,Stiff Arm,Spin Move,Juke Move,Impact Blocking,Run Block Strength,Run Block Footwork,Pass Block Strength,Pass Block Footwork,Power Moves,Finesse Moves,Block Shedding,Pursuit,Play Recognition,Man Coverage,Zone Coverage,Spectacular Catch,Catch In Traffic,Route Running,Hit Power,Press,Release,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Play Action,Throw on the Run,Height,Weight,Age,Birthdate,Years Pro,College,Total Salary,Signing Bonus,Handedness,portraitId
Reid,Eric,SS,-,78,88,92,72,85,78,72,64,25,29,20,21,45,45,67,94,60,90,89,80,64,42,56,55,40,44,67,45,45,45,45,60,42,70,82,78,59,72,65,64,35,92,69,40,15,10,10,15,15,73,213,25,12/10/91,4,LSU,7100000,1100000,Right,6269
Carradine,Tank,LE,-,77,80,87,83,81,74,45,50,20,30,19,15,45,45,81,78,10,81,80,84,54,35,40,42,50,51,82,45,45,45,45,81,68,71,78,74,51,62,25,15,15,79,35,15,6,6,6,6,6,76,270,28,2/18/89,4,Florida State,2500000,1650000,Right,5739
Foster,Reuben,ROLB,QUICK,77,83,85,84,85,71,66,55,24,25,14,22,45,45,85,81,10,77,88,85,42,32,25,35,34,40,87,45,45,45,45,72,58,77,87,71,69,78,29,23,10,89,52,25,6,6,6,6,6,73,228,23,4/4/94,0,Alabama,9071000,4730000,Right,8555
Kerley,Jeremy,WR,-,77,86,91,43,92,85,87,68,62,49,22,24,62,26,25,85,84,90,88,75,36,90,86,32,83,89,45,24,24,22,22,10,10,45,24,27,19,22,86,83,84,15,15,62,49,47,44,25,67,69,188,28,11/8/88,6,TCU,6300000,1700000,Right,4409
McDonald,Vance,TE,-,77,83,86,83,76,78,81,75,35,34,15,14,55,64,42,84,25,84,91,73,77,54,79,69,72,68,66,54,60,58,66,40,33,51,55,32,24,34,82,75,72,55,25,69,35,33,32,22,35,76,267,27,6/13/90,4,Rice,20750000,8600000,Right,5971
Dial,Quinton,DT,-,76,62,74,87,65,82,34,39,36,19,20,20,45,45,81,66,10,85,71,69,25,10,19,25,25,20,85,45,45,45,45,78,60,78,77,82,22,34,15,17,15,78,24,25,6,6,6,6,6,77,318,27,7/21/90,4,Alabama,8200000,3200000,Right,5770
Gould,Robbie,K,-,76,60,64,25,52,57,15,40,29,20,94,85,20,16,23,27,10,90,75,65,10,27,10,10,10,10,20,20,20,16,16,10,10,23,21,19,11,14,12,10,10,12,10,12,35,30,25,20,20,72,190,35,12/30/81,12,Penn State,3500000,500000,Right,1275
Lynch,Aaron,RE,-,76,83,89,76,74,75,50,45,10,10,25,21,45,45,78,76,10,88,79,69,40,15,29,35,34,33,74,45,45,45,45,82,70,68,78,75,60,71,25,21,15,74,45,12,6,6,6,6,6,78,270,24,3/8/93,3,USF,1920000,400000,Right,6501
Robinson,Rashard,CB,QUICK,76,93,90,65,86,75,54,55,27,26,18,17,24,32,48,89,56,90,92,86,27,68,69,29,63,72,52,43,44,43,44,24,25,54,77,75,81,70,35,33,26,58,82,27,6,6,6,6,6,73,190,22,7/23/95,1,LSU,2670000,380000,Right,8200
Armstead,Arik,RE,-,75,69,81,85,74,73,39,46,35,32,30,30,45,45,85,83,10,87,73,81,44,26,20,45,25,15,86,45,45,45,45,84,72,71,73,73,29,44,15,10,10,77,35,12,6,6,6,6,6,79,275,23,11/15/93,2,Oregon,8400000,4800000,Right,7003
Armstrong,Ray-Ray,ROLB,-,75,82,87,65,81,72,66,62,34,30,28,28,45,45,79,83,10,89,84,74,51,35,39,49,50,45,73,45,45,45,45,63,73,75,80,72,69,77,25,15,10,81,63,12,6,6,6,6,6,75,220,26,3/5/91,4,Miami,2675000,450000,Right,6860
Brooks,Ahmad,LOLB,-,75,79,83,83,74,81,55,65,20,19,27,23,45,45,69,75,10,87,89,88,35,31,19,10,10,20,83,45,45,45,45,75,51,76,83,81,61,71,15,15,10,86,55,12,6,6,6,6,6,75,259,33,3/14/84,11,Virginia,40000000,7500000,Right,527
Brown,Trent,RT,-,75,63,75,91,60,77,35,32,25,25,20,20,72,81,40,75,10,85,73,76,35,10,15,25,10,10,73,88,74,84,66,10,10,31,12,15,12,15,12,12,12,20,10,12,6,6,6,6,6,80,355,24,4/13/93,2,Florida,1800000,200000,Right,7422
Hoyer,Brian,QB,-,75,68,76,60,67,77,25,60,90,78,15,18,18,12,19,69,10,84,88,70,23,27,65,20,55,66,18,18,18,12,12,10,10,19,12,25,13,19,15,15,15,12,10,15,86,79,75,78,75,74,215,31,10/13/85,7,Michigan St.,7475000,4000000,Right,1552
Smith,Malcolm,ROLB,-,75,86,86,73,82,81,72,40,27,30,20,20,45,45,82,84,11,88,82,75,40,64,39,35,65,60,83,45,45,45,45,51,62,78,82,81,50,56,35,33,15,77,55,15,6,6,6,6,6,72,225,28,7/5/89,6,USC,8750000,4200000,Right,5606
Douzable,Leger,DT,-,74,60,72,85,64,80,25,40,26,26,25,25,45,45,83,71,6,91,66,75,20,12,15,35,10,10,85,45,45,45,45,77,63,73,79,80,15,32,15,15,15,66,10,15,6,6,6,6,6,76,284,31,5/31/86,9,UCF,900000,0,Right,989
Williams,K'Waun,CB,-,74,88,92,48,92,70,65,60,36,36,26,26,45,45,57,88,45,91,92,74,25,72,65,30,70,72,45,45,45,45,45,30,37,37,71,70,82,75,64,55,32,43,66,39,6,6,6,6,6,69,183,26,7/12/91,2,Pittsburgh,615000,0,Right,7379
Goodwin,Marquise,WR,-,73,95,96,42,91,76,79,73,34,32,21,20,61,32,25,87,83,86,90,67,38,72,74,41,78,75,40,39,39,35,34,10,10,37,34,24,18,25,83,75,73,15,10,69,15,10,6,6,10,69,179,26,11/19/90,4,Texas,3400000,2500000,Right,5825
Pinion,Bradley,P,-,73,66,64,55,62,55,39,40,52,45,91,76,29,25,29,70,10,92,85,55,15,19,15,10,10,10,22,21,21,20,20,10,10,19,35,20,15,15,15,15,15,15,10,15,51,42,32,25,24,77,229,23,6/1/94,2,Clemson,2000000,360000,Right,7281
Barkley,Matt,QB,-,72,74,79,63,64,72,37,71,86,79,25,25,20,19,25,72,10,87,95,87,32,37,63,44,60,61,30,35,30,30,20,10,10,28,35,15,15,20,28,23,24,12,10,12,84,79,76,79,83,74,227,26,9/8/90,4,USC,3000000,0,Right,5677
Beathard,C.J.,QB,-,72,78,81,64,77,63,30,61,91,73,20,15,14,21,28,83,5,86,92,81,48,59,70,54,52,68,14,19,19,26,26,8,10,28,36,26,10,14,19,17,14,24,9,13,83,77,75,82,81,74,219,23,11/16/93,0,Iowa,3181000,700000,Right,8477
Kittle,George,TE,-,72,87,88,71,76,57,75,76,30,25,19,22,71,63,34,91,10,88,85,80,71,59,73,54,58,70,72,66,64,55,54,20,18,31,36,35,15,24,79,74,62,38,20,63,20,15,10,10,10,76,247,23,10/9/93,0,Iowa,2654000,290000,Right,8622
Mitchell,Earl,DT,-,72,78,89,80,71,73,42,55,20,20,20,20,45,45,78,82,10,88,80,75,44,30,25,50,20,20,85,45,45,45,45,81,62,68,75,73,20,30,15,15,15,77,10,15,6,6,6,6,6,75,310,29,9/25/87,7,Arizona,11500000,0,Right,4788
Robinson,Aldrick,WR,-,72,92,91,35,93,78,79,63,35,30,22,22,59,36,31,87,77,90,88,65,30,88,79,30,85,88,40,25,29,25,26,10,10,39,35,20,13,25,83,78,76,12,18,57,15,10,6,6,10,70,187,28,9/24/88,6,SMU,3700000,300000,Right,4458
Tartt,Jaquiski,SS,-,72,89,90,65,80,71,64,62,21,23,19,22,45,45,67,83,35,92,85,86,57,42,40,40,49,55,63,45,45,45,45,44,59,64,82,71,63,74,45,44,20,84,63,25,6,6,6,6,6,73,221,25,2/18/92,2,Samford,4600000,1600000,Right,7344
Williams,Joe,HB,-,72,92,89,72,91,61,64,77,30,28,11,11,29,49,33,84,75,94,91,81,80,77,81,64,75,86,46,35,34,37,35,10,10,24,31,13,10,20,51,53,58,15,15,44,26,20,14,20,23,71,205,23,9/4/93,0,Utah,2990000,630000,Right,8778
Barnes,Tim,C,-,71,65,76,84,64,81,30,32,22,25,20,20,73,75,40,64,10,90,77,90,20,15,10,10,10,10,78,70,74,76,80,20,15,40,29,20,13,15,12,10,10,25,10,12,6,6,6,6,6,76,306,29,5/14/88,6,Missouri,850000,0,Right,5034
Gilliam,Garry,RT,-,71,71,85,84,63,75,25,35,23,14,17,18,72,73,38,84,10,84,79,75,15,11,10,10,10,10,78,78,79,78,80,10,10,23,34,13,12,29,12,10,10,35,10,12,6,6,6,6,6,77,315,26,11/26/90,3,Penn State,1400000,760000,Right,7132
Kilgore,Daniel,C,-,71,61,80,89,57,81,17,40,33,25,19,17,74,72,22,37,10,87,75,96,10,18,10,10,10,10,79,91,85,85,69,10,10,22,29,23,6,10,12,10,10,35,10,12,6,6,6,6,6,75,308,29,12/18/87,6,Appalach. St.,4850000,1500000,Right,4411
Murphy,Louis,WR,-,71,88,91,57,86,77,78,72,23,28,24,21,50,29,28,93,65,77,91,88,46,87,82,45,83,85,55,57,53,29,29,10,10,40,39,26,18,13,77,74,72,15,15,60,15,10,6,6,10,74,200,30,5/11/87,7,Florida,985000,0,Right,2207
Porter,Sean,ROLB,-,71,80,87,70,86,66,55,65,25,30,20,20,45,45,77,85,10,78,86,74,45,49,46,45,55,45,69,45,45,45,45,66,82,64,81,66,62,73,35,25,15,65,60,25,6,6,6,6,6,73,242,26,1/12/91,4,Texas AM,690000,0,Right,6023
Reaser,Keith,CB,-,71,90,91,68,85,65,53,64,35,35,20,20,45,45,52,88,45,76,86,68,29,72,64,32,65,66,45,45,45,45,45,32,36,36,72,65,82,70,54,45,25,45,65,33,6,6,6,6,6,72,190,26,7/31/91,3,FAU,2000000,600000,Right,6558
Witherspoon,Ahkello,CB,-,71,91,92,56,91,63,64,59,35,35,20,20,45,45,48,94,55,88,91,68,25,53,61,31,66,73,43,45,45,45,45,26,33,43,69,63,79,73,48,53,27,44,74,24,6,6,6,6,6,75,190,22,3/21/95,0,Colorado,3881000,970000,Right,8788
Beadles,Zane,LG,-,70,60,70,83,55,82,25,25,33,25,22,21,72,72,28,17,10,93,80,94,10,18,10,10,10,10,85,78,82,81,85,10,10,19,41,14,16,15,15,15,15,20,10,15,6,6,6,6,6,76,305,30,11/19/86,7,Utah,7900000,1750000,Right,387
Celek,Garrett,TE,-,70,80,85,73,76,75,78,72,30,30,15,15,55,57,35,83,35,80,84,76,64,64,57,63,72,68,68,53,60,52,57,10,10,50,39,21,15,22,72,74,62,25,25,69,15,10,6,6,10,77,252,29,5/29/88,5,Michigan St.,6700000,2500000,Right,5742
Davis,Will,CB,-,70,88,90,60,93,67,69,64,21,22,15,11,45,45,42,90,72,85,91,66,35,75,81,40,74,83,51,45,45,45,45,35,43,42,66,67,81,68,54,50,39,46,65,34,6,6,6,6,6,71,190,27,5/8/90,3,Utah State,775000,0,Right,7077
Fusco,Brandon,LG,-,70,64,78,89,64,73,27,40,27,22,24,22,73,73,47,60,10,84,79,74,10,18,10,25,10,10,80,79,89,81,67,10,10,33,30,26,9,20,15,20,17,30,15,22,6,6,6,6,6,76,306,27,11/17/89,6,Slippery Rock,775000,0,Right,4366
Paulsen,Logan,TE,-,70,73,81,76,71,75,69,68,25,22,29,19,78,62,39,67,10,89,87,82,64,42,58,67,62,65,66,72,68,62,60,10,10,41,42,14,18,29,70,69,60,25,25,66,15,10,6,6,10,77,268,30,2/26/87,7,UCLA,775000,220000,Right,4825
Taylor,Trent,WR,-,70,86,90,61,91,59,86,63,31,45,13,15,49,44,35,80,80,88,91,84,59,82,84,61,79,86,51,38,38,34,34,15,23,31,39,23,15,23,78,82,81,48,24,60,28,23,18,24,28,68,181,23,4/30/94,0,LA. Tech,2557000,200000,Right,8744
Garnett,Joshua,RG,-,69,62,77,84,57,75,33,43,21,22,20,20,72,72,38,67,8,90,91,81,31,14,18,16,9,12,83,82,78,80,72,17,15,28,28,16,12,14,14,13,14,25,9,15,6,6,6,6,6,77,321,23,2/21/94,1,Stanford,9300000,4900000,Right,8015
Harold,Eli,LOLB,-,69,86,88,78,83,63,54,55,25,25,20,20,45,45,77,85,10,92,83,78,43,30,45,35,25,35,77,45,45,45,45,65,77,77,82,63,45,55,20,24,15,84,40,25,6,6,6,6,6,75,265,23,1/20/94,2,Virginia,2800000,800000,Right,7161
Johnson,Dontae,CB,-,69,91,92,58,91,62,60,61,25,21,18,19,45,45,56,89,55,92,90,75,33,66,62,40,66,72,45,45,45,45,45,42,48,40,64,62,70,77,45,39,30,60,77,20,6,6,6,6,6,74,200,25,12/1/91,3,N.C. State,2620000,400000,Right,6470
Jones,Don,FS,-,69,91,92,67,90,60,56,60,20,14,25,15,45,45,68,97,40,91,88,69,25,65,49,40,71,75,59,45,45,45,45,35,54,59,65,60,75,71,40,35,15,82,72,12,15,10,10,15,15,71,195,27,5/14/90,4,Arkansas St.,1750000,250000,Right,6760
Bibbs,Kapri,HB,-,68,85,90,73,86,65,52,82,15,15,15,15,46,64,35,80,60,92,91,76,81,66,84,73,72,76,54,50,47,45,45,10,10,35,33,22,13,16,45,49,39,20,20,52,35,30,20,15,15,71,203,24,1/10/93,3,Colorado St.,615000,0,Right,6345
Coyle,Brock,MLB,-,68,85,89,77,80,69,63,60,27,25,29,19,45,45,79,87,15,93,88,87,42,22,32,45,35,36,81,45,45,45,45,62,54,73,78,69,63,70,25,35,15,78,40,15,6,6,6,6,6,73,245,26,10/12/90,3,Montana,1000000,450000,Right,7064
Jackson,Asa,CB,-,68,88,91,62,93,61,64,72,36,36,15,11,45,45,49,85,79,84,90,65,31,74,70,32,73,87,45,45,45,45,45,25,30,46,57,61,79,68,65,40,44,40,66,45,6,6,6,6,6,70,182,27,12/2/89,5,Cal Poly SLO,775000,0,Right,5258
Blair III,Ronald,LE,-,67,77,86,84,75,55,45,43,22,20,20,19,45,46,78,85,9,91,79,88,42,22,39,31,21,28,77,44,45,46,44,78,63,79,76,55,37,50,17,17,14,81,22,17,6,6,6,6,6,76,270,24,1/21/93,1,Appalach. St.,2610000,270000,Right,7896
Burbridge,Aaron,WR,-,67,89,89,69,86,65,76,69,27,20,23,22,52,42,29,86,35,90,88,81,69,62,76,54,70,71,45,44,44,36,34,11,11,27,34,21,16,24,82,71,75,15,16,61,15,10,6,6,10,73,208,23,12/23/93,1,Michigan St.,2440000,100000,Right,7922
Hikutini,Cole,TE,-,67,77,84,71,73,50,83,74,23,21,18,22,62,59,31,83,8,91,85,82,47,63,78,68,55,64,62,55,57,44,52,10,10,28,34,17,14,17,79,77,64,27,24,62,15,10,6,6,10,76,247,25,6/11/92,0,Louisville,1665000,0,Right,8583
Redmond,Will,CB,-,67,91,92,61,90,54,58,57,27,26,18,17,44,43,43,88,56,87,90,73,25,65,61,29,67,74,45,43,44,43,44,26,33,36,79,54,79,72,40,39,26,49,74,27,10,10,10,10,10,72,186,23,12/28/93,1,Mississippi St.,3510000,870000,Right,8190
Watson,Dekoda,LOLB,-,66,84,90,65,84,64,57,35,25,40,22,22,45,45,73,88,10,84,89,64,25,45,37,66,10,65,67,45,45,45,45,64,70,64,81,64,68,75,35,20,15,65,55,30,6,6,6,6,6,74,245,29,3/8/88,7,Florida State,3500000,1400000,Right,3121
Bell,Blake,TE,-,65,79,83,70,82,38,73,81,79,66,17,18,77,73,35,82,10,77,83,78,84,55,82,75,68,63,61,72,67,68,64,10,10,41,40,15,15,25,74,71,45,12,10,69,67,64,62,54,55,78,252,26,8/7/91,2,Oklahoma,2400000,440000,Right,7014
Smelter,DeAndre,WR,-,65,87,89,70,88,51,79,72,29,25,19,15,61,50,40,85,40,73,85,82,67,77,75,74,74,75,61,60,61,55,52,10,10,50,45,18,12,25,76,82,55,22,10,79,15,10,6,6,10,74,227,25,12/3/91,2,Georgia Tech,540000,0,Right,7324
Jones,D.J.,DT,-,64,71,82,89,77,50,38,31,24,18,23,19,45,45,75,71,9,92,82,89,43,24,29,32,17,25,86,46,45,44,45,75,61,73,77,50,20,27,20,24,17,78,18,14,6,6,6,6,6,72,321,22,1/19/95,0,Ole Miss,2503000,140000,Right,8610
Sunseri,Vinnie,FS,-,64,87,88,66,79,59,67,65,30,30,25,25,45,45,72,80,60,74,88,88,44,65,72,47,59,63,58,45,45,45,45,44,51,63,81,59,61,70,64,62,24,71,74,30,10,10,10,10,10,72,210,25,10/25/91,3,Alabama,615000,0,Right,6604
Theus,John,RT,-,64,65,79,73,56,62,25,29,23,18,22,21,73,73,38,76,10,92,85,90,30,26,28,26,17,18,73,82,87,73,76,25,15,28,31,22,13,15,24,22,21,68,10,25,6,6,6,6,6,78,303,23,1/19/94,1,Georgia,2590000,250000,Right,8230
Jerome,Lorenzo,FS,-,63,85,89,65,85,52,76,72,53,42,20,15,45,45,70,81,83,92,89,82,51,70,74,59,66,76,64,45,45,45,45,38,47,59,80,52,66,73,69,73,28,78,66,20,49,45,41,39,40,70,204,22,1/20/95,0,St. Francis,1665000,0,Right,8602
Taumoepenu,Pita,ROLB,-,63,83,87,78,86,56,44,38,10,22,21,20,45,45,71,73,10,92,85,87,31,37,26,33,36,44,72,45,45,45,45,59,76,71,78,56,41,52,33,36,18,68,33,12,6,6,6,6,6,73,243,23,3/9/94,0,Utah,2501000,140000,Right,8742
Iworah,Prince,CB,-,62,93,92,73,81,49,67,61,22,21,18,22,28,31,53,91,50,91,91,83,25,64,57,29,60,71,45,45,45,45,45,27,30,51,68,49,67,76,45,49,20,47,67,15,6,6,6,6,6,71,193,23,12/23/93,1,W. Kentucky,465000,0,Right,8065
Nwachukwu,Noble,RE,-,62,78,84,82,71,52,30,24,19,16,15,10,45,45,73,77,10,92,80,84,28,34,38,31,28,43,81,45,45,45,45,76,62,74,76,52,33,42,26,29,17,78,21,14,6,6,6,6,6,74,275,22,11/30/94,0,West Virginia,1665000,0,Right,8677
Bolden Jr,Victor,WR,-,61,88,90,44,90,51,78,64,37,33,22,24,43,32,26,78,82,91,91,73,32,81,80,42,77,86,41,31,35,30,34,10,10,24,26,17,18,25,80,74,68,19,15,53,38,32,25,26,37,68,178,22,4/4/95,0,Oregon State,1665000,0,Right,8481
Colbert,Adrian,SS,-,60,89,93,61,83,56,66,57,27,26,18,17,45,45,60,81,62,89,88,79,38,64,67,50,62,70,64,43,44,43,44,26,34,64,73,56,62,70,60,64,32,78,61,22,6,6,6,6,6,74,205,23,10/6/93,0,Miami,2440000,80000,Right,0
Mostert,Raheem,HB,-,60,93,94,67,87,56,60,69,30,30,25,25,49,38,35,90,85,87,89,81,56,74,62,62,76,79,34,42,40,35,39,10,10,11,40,20,15,20,46,59,55,20,20,51,35,30,20,15,15,70,195,25,4/9/92,2,Purdue,615000,0,Right,7768
Nelson,Kyle,TE,-,44,82,85,68,70,66,60,70,10,14,11,14,51,62,45,66,10,92,77,75,19,11,15,15,10,10,66,72,64,66,62,10,10,40,19,13,22,19,45,40,45,55,10,42,10,10,10,10,10,74,240,30,10/3/86,6,New Mex. St.,4080000,600000,Right,5998
Sitton,Josh,RG,STAR,89,62,78,91,60,92,40,40,30,30,25,25,83,92,30,49,10,84,86,83,20,12,10,30,10,10,86,93,83,95,87,10,10,20,20,15,12,15,15,15,15,20,10,15,6,6,6,6,6,75,318,31,6/6/86,9,UCF,16750000,1500000,Right,2741
Freeman,Jerrell,MLB,QUICK,88,81,83,72,79,90,70,45,30,30,20,20,45,45,94,78,6,92,94,75,49,30,35,37,30,28,89,45,45,45,45,70,56,85,90,90,75,85,35,40,10,82,64,20,6,6,6,6,6,72,236,31,5/1/86,6,Mary Hardin-Baylor,12000000,4000000,Right,5807
Miller,Zach,TE,-,86,85,89,71,81,82,93,74,70,58,20,20,78,71,25,84,30,82,78,77,65,71,76,55,75,77,55,54,50,51,49,10,10,40,40,20,15,20,78,79,79,15,15,76,63,61,57,44,72,77,243,32,10/4/84,6,Nebr.-Omaha,4700000,1000000,Right,2125
Whitehair,Cody,C,QUICK,86,72,82,87,63,88,24,33,21,22,20,20,83,88,31,64,8,90,88,89,28,12,14,18,9,12,86,82,78,80,72,18,16,32,28,16,12,14,14,13,14,48,9,15,6,6,6,6,6,75,310,25,7/11/92,1,Kansas State,4200000,1200000,Right,8262
Howard,Jordan,HB,QUICK,85,90,91,80,89,89,66,89,28,22,21,20,40,68,39,86,42,87,88,79,88,80,89,85,75,82,37,44,43,49,47,11,12,26,31,20,14,19,57,61,60,21,16,58,22,18,16,11,16,73,222,22,11/2/94,1,Indiana,2580000,240000,Right,8060
McPhee,Pernell,LOLB,QUICK,84,77,82,92,79,85,42,40,12,12,10,18,45,45,83,67,10,85,91,87,10,31,10,10,14,15,85,45,45,45,45,86,77,79,86,85,52,63,15,15,15,87,20,30,6,6,6,6,6,75,273,28,12/17/88,6,Mississippi St.,28500000,2600000,Right,4430
Trevathan,Danny,MLB,-,84,80,86,67,78,86,73,45,20,25,37,30,45,45,92,82,10,85,92,87,28,14,28,40,24,40,83,45,45,45,45,78,66,82,91,86,60,74,20,15,15,81,40,35,6,6,6,6,6,73,239,27,3/24/90,5,Kentucky,24500000,9000000,Right,5525
Hicks,Akiem,LE,-,83,65,81,87,68,85,30,35,26,26,25,25,45,45,86,81,10,93,83,73,20,10,15,35,10,10,89,45,45,45,45,85,71,87,83,85,24,39,15,15,15,80,15,15,6,6,6,6,6,77,336,27,11/16/89,5,Regina,8000000,5000000,Right,5230
Meredith,Cameron,WR,QUICK,83,89,93,67,91,86,89,67,29,25,18,18,58,45,35,90,20,87,88,85,58,79,84,65,76,81,49,40,45,45,40,10,10,40,30,30,19,22,86,84,87,15,15,80,15,10,6,6,10,75,207,24,9/21/92,2,Illinois St.,1581000,0,Right,7761
Amukamara,Prince,CB,-,81,90,91,69,93,80,70,66,30,32,22,15,45,45,73,91,55,90,96,70,35,75,74,30,80,84,54,45,45,45,45,46,66,47,74,80,82,76,75,65,20,65,81,35,6,6,6,6,6,72,202,28,6/6/89,6,Nebraska,3000000,0,Right,4319
Goldman,Eddie,DT,-,81,64,75,88,58,81,25,40,21,24,24,18,45,45,86,74,10,85,82,84,25,11,10,10,10,10,86,45,45,45,45,85,66,84,81,81,21,28,15,15,15,85,16,15,6,6,6,6,6,76,320,23,1/6/94,2,Florida State,5000000,2000000,Right,7136
Long,Kyle,LG,QUICK,81,74,85,84,69,85,40,45,67,44,14,14,74,86,55,70,15,88,90,97,35,10,25,39,25,22,85,82,80,83,88,68,45,65,53,39,15,20,12,10,10,62,10,15,6,6,6,6,6,78,320,28,12/5/88,4,Oregon,34800000,8600000,Left,5952
Amos,Adrian,FS,-,80,93,92,73,84,81,60,65,30,30,25,25,45,45,58,86,35,92,88,66,40,54,56,44,55,62,63,45,45,45,45,42,47,64,77,81,76,83,55,52,20,75,75,15,15,10,10,15,15,72,214,24,4/29/93,2,Penn State,2200000,400000,Right,6996
Demps,Quintin,SS,-,80,88,92,60,81,82,61,70,25,25,25,25,45,45,72,84,81,90,91,78,40,50,80,40,55,77,62,45,45,45,45,46,56,64,85,82,71,80,45,40,35,74,64,12,15,10,10,15,15,71,210,32,6/29/85,9,UTEP,11000000,2500000,Right,936
Fuller,Kyle,CB,-,80,92,93,62,90,80,78,66,36,36,19,19,45,45,67,91,50,89,94,87,36,55,65,40,65,66,52,45,45,45,45,54,68,62,81,80,72,83,59,65,21,73,84,40,6,6,6,6,6,72,190,25,2/16/92,3,Virginia Tech,9600000,5200000,Right,6423
Houston,Lamarr,ROLB,-,80,75,83,85,72,82,46,40,20,20,20,20,45,45,82,75,10,83,91,72,20,10,10,10,10,10,83,45,45,45,45,82,65,86,85,82,45,65,15,15,15,76,20,15,6,6,6,6,6,75,274,30,6/24/87,7,Texas,20000000,2700000,Right,1546
